Id,Site,Plot,Class,Order,Family,Genera,Species,Tree,Strata,Leaf,SPAD.average,Fresh.weight,Area,Dry.weight,LMA,LDMC,THICKNESS,LNC,LCC,N.C
1,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,A,1,1,37.425,9.563,0.03122,2.492,79.8206278,0.260587682,306.3100577,2.281,42.656,0.053474306
2,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,A,1,2,38.475,9.871,0.033124,2.8,84.53085376,0.283659204,298.0014491,3.946,43.123,0.091505693
3,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,A,1,3,39.425,10.563,0.034186,3.373,98.66612063,0.319322162,308.9861347,3.581,47.353,0.075623509
4,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,A,0,6,38.45,4.365,0.021521333,1.06,49.25345394,0.242840779,202.8220061,2.524,41.724,0.060492762
5,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,A,0,7,41.525,4.762,0.024690333,1.215,49.2095422,0.255144897,192.8690041,2.189,42.922,0.050999487
6,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,A,0,8,42.65,4.645,0.021696667,1.263,58.21170687,0.271905274,214.0881856,2.616,40.951,0.063881224
7,MET,METSUR,Dicots,NA,NA,NA,NA1,B,0,1,41.6,0.192,0.00126,0.051,40.47619048,0.265625,152.3809524,2.846,46.149,0.061669809
8,MET,METSUR,Dicots,NA,NA,NA,NA1,B,0,2,40.35,0.512,0.00325425,0.133,40.86963202,0.259765625,157.3327188,2.666,46.151,0.057766896
9,MET,METSUR,Dicots,NA,NA,NA,NA1,B,0,3,43.125,0.402,0.0025705,0.108,42.01517215,0.268656716,156.3898074,2.558,47.413,0.053951448
10,MET,METSUR,Dicots,NA,NA,NA,NA1,B,0,6,42.6,0.946,0.00507125,0.223,43.97337934,0.235729387,186.5417796,1.905,46.885,0.040631332
11,MET,METSUR,Dicots,NA,NA,NA,NA1,B,0,7,49.15,0.657,0.0033375,0.15,44.94382022,0.228310502,196.8539326,2.355,45.678,0.051556548
